Price,Close,High,Low,Open,Volume
2024-08-06,116.36000061035156,118.7699966430664,114.01000213623047,115.47000122070312,1800700
2024-08-07,121.0999984741211,129.6199951171875,118.37000274658203,119.80999755859375,4502900
2024-08-08,126.69999694824219,126.88999938964844,120.16000366210938,120.8499984741211,2064500
2024-08-09,123.55999755859375,126.66000366210938,123.30000305175781,126.58999633789062,1860400
2024-08-12,124.54000091552734,125.5,120.5,123.1500015258789,1281200
2024-08-13,119.72000122070312,128.5,113.20999908447266,124.16000366210938,3746500
2024-08-14,122.27999877929688,126.56999969482422,122.0,122.12999725341797,2177400
2024-08-15,128.8000030517578,129.3300018310547,123.55999755859375,123.55999755859375,1991400
2024-08-16,130.30999755859375,132.64999389648438,128.1199951171875,130.0,1764900
2024-08-19,135.89999389648438,136.3000030517578,130.0399932861328,130.8800048828125,1921100
2024-08-20,132.50999450683594,137.17999267578125,132.3699951171875,137.10000610351562,2335200
2024-08-21,132.6199951171875,133.2899932861328,129.89999389648438,132.5500030517578,1619300
2024-08-22,129.3300018310547,135.1300048828125,129.17999267578125,133.92999267578125,1042400
2024-08-23,131.38999938964844,132.6199951171875,129.5,131.50999450683594,831900
2024-08-26,130.4199981689453,132.72000122070312,130.14999389648438,131.67999267578125,890100
2024-08-27,130.89999389648438,131.14999389648438,128.44000244140625,129.77999877929688,1378300
2024-08-28,131.6999969482422,133.41000366210938,129.9499969482422,132.7100067138672,1447600
2024-08-29,133.77999877929688,135.2100067138672,131.75999450683594,133.00999450683594,1226100
2024-08-30,131.39999389648438,134.08999633789062,130.41000366210938,133.83999633789062,969000
2024-09-03,130.25999450683594,133.6699981689453,129.77000427246094,131.3000030517578,1121600
2024-09-04,128.58999633789062,130.75,127.36000061035156,128.05999755859375,910300
2024-09-05,129.75999450683594,130.83999633789062,128.02999877929688,128.38999938964844,1253600
2024-09-06,124.38999938964844,130.8000030517578,123.87000274658203,129.8699951171875,1416700
2024-09-09,122.54000091552734,126.66999816894531,121.31999969482422,125.0,1972100
2024-09-10,124.12999725341797,124.77999877929688,121.7300033569336,122.76000213623047,1126300
2024-09-11,124.83000183105469,125.86000061035156,122.47000122070312,123.19000244140625,2246400
2024-09-12,126.25,126.27999877929688,120.51000213623047,124.26000213623047,1635500
2024-09-13,129.17999267578125,129.7100067138672,126.30999755859375,126.30999755859375,1180200
2024-09-16,129.52000427246094,131.02999877929688,127.5,129.8000030517578,1510600
2024-09-17,130.2100067138672,131.5500030517578,128.5500030517578,130.17999267578125,1503000
2024-09-18,130.97000122070312,134.94000244140625,129.69000244140625,130.19000244140625,2220000
2024-09-19,134.38999938964844,136.19000244140625,133.80999755859375,134.9199981689453,1216000
2024-09-20,131.1999969482422,133.63999938964844,130.36000061035156,133.63999938964844,2659400
2024-09-23,130.10000610351562,131.3800048828125,128.3800048828125,131.14999389648438,2163200
2024-09-24,128.82000732421875,132.1199951171875,128.6999969482422,130.49000549316406,1025100
2024-09-25,126.1500015258789,129.42999267578125,125.93000030517578,128.5800018310547,1021600
2024-09-26,132.27000427246094,132.3699951171875,127.73999786376953,128.0399932861328,1621700
2024-09-27,130.1199951171875,134.50999450683594,129.92999267578125,133.5,1603400
2024-09-30,130.41000366210938,131.13999938964844,128.02999877929688,130.1199951171875,1085800
2024-10-01,128.97999572753906,130.3699951171875,125.05999755859375,130.17999267578125,1303400
2024-10-02,139.02000427246094,139.39999389648438,127.01000213623047,127.86000061035156,2619900
2024-10-03,136.36000061035156,139.1300048828125,134.8300018310547,138.2100067138672,1663000
2024-10-04,141.42999267578125,141.8800048828125,136.11000061035156,138.72999572753906,2985600
2024-10-07,140.66000366210938,141.41000366210938,138.16000366210938,140.75,2197800
2024-10-08,139.66000366210938,142.7899932861328,139.33999633789062,140.66000366210938,2268900
2024-10-09,140.0,143.32000732421875,134.13999938964844,139.6699981689453,3246300
2024-10-10,143.75999450683594,146.0,137.7100067138672,139.0399932861328,2297000
2024-10-11,145.5399932861328,145.94000244140625,142.05999755859375,143.74000549316406,1650100
2024-10-14,149.07000732421875,150.8000030517578,145.10000610351562,146.0,2071100
2024-10-15,147.61000061035156,151.39999389648438,145.5800018310547,148.74000549316406,2342400
2024-10-16,143.88999938964844,148.61000061035156,143.75999450683594,147.8800048828125,1536000
2024-10-17,143.52000427246094,147.69000244140625,142.6999969482422,146.8300018310547,1591400
2024-10-18,146.07000732421875,146.27000427246094,142.89999389648438,143.52000427246094,1746100
2024-10-21,145.2100067138672,145.8300018310547,143.49000549316406,144.66000366210938,1170300
2024-10-22,144.05999755859375,144.47000122070312,142.3000030517578,143.35000610351562,1090400
2024-10-23,142.94000244140625,144.8699951171875,141.3800048828125,142.6300048828125,1067300
2024-10-24,141.38999938964844,144.1699981689453,140.8699951171875,144.1699981689453,848000
2024-10-25,141.9499969482422,143.30999755859375,140.6999969482422,141.77999877929688,969800
2024-10-28,144.02999877929688,145.0,142.8300018310547,143.2100067138672,853600
2024-10-29,146.0,146.69000244140625,142.97999572753906,143.6999969482422,1328000
2024-10-30,147.66000366210938,148.89999389648438,144.94000244140625,144.94000244140625,1175800
2024-10-31,144.13999938964844,146.10000610351562,142.91000366210938,145.6999969482422,1498700
2024-11-01,149.75999450683594,149.9499969482422,143.99000549316406,144.6999969482422,1714100
2024-11-04,153.49000549316406,155.3699951171875,149.22000122070312,149.75999450683594,4167600
2024-11-05,154.9600067138672,156.66000366210938,147.10000610351562,148.1300048828125,3493000
2024-11-06,151.8300018310547,156.50999450683594,147.8699951171875,156.13999938964844,2834400
2024-11-07,155.14999389648438,155.99000549316406,152.41000366210938,152.4600067138672,2162700
2024-11-08,151.08999633789062,154.42999267578125,149.0500030517578,154.2899932861328,2209200
2024-11-11,151.5,152.63999938964844,149.60000610351562,151.25999450683594,1496300
2024-11-12,147.6199951171875,151.6999969482422,146.07000732421875,151.30999755859375,2119100
2024-11-13,146.1699981689453,148.14999389648438,145.22000122070312,147.6999969482422,1802800
2024-11-14,142.24000549316406,145.6300048828125,141.86000061035156,145.57000732421875,2262900
2024-11-15,135.0500030517578,140.35000610351562,133.4199981689453,140.35000610351562,4741400
2024-11-18,130.74000549316406,135.52999877929688,129.7100067138672,135.0,2551500
2024-11-19,135.0,135.05999755859375,129.14999389648438,130.11000061035156,3125300
2024-11-20,131.67999267578125,134.27999877929688,129.72000122070312,133.99000549316406,3065200
2024-11-21,136.99000549316406,137.19000244140625,130.11000061035156,131.35000610351562,2026100
2024-11-22,140.13999938964844,141.39999389648438,136.0500030517578,137.77000427246094,2047300
2024-11-25,143.82000732421875,145.2100067138672,140.77999877929688,141.55999755859375,2324900
2024-11-26,142.9499969482422,143.4199981689453,140.55999755859375,143.0800018310547,2440700
2024-11-27,144.36000061035156,146.3000030517578,143.25,144.11000061035156,1308800
2024-11-29,144.14999389648438,145.25999450683594,141.50999450683594,144.0500030517578,757900
2024-12-02,145.14999389648438,145.3699951171875,140.5500030517578,142.91000366210938,1524900
2024-12-03,140.60000610351562,144.77000427246094,139.32000732421875,144.4499969482422,2084000
2024-12-04,142.5,142.67999267578125,138.8800048828125,140.7899932861328,1410400
2024-12-05,139.91000366210938,144.0,139.33999633789062,142.2100067138672,1393200
2024-12-06,141.08999633789062,142.27000427246094,139.66000366210938,140.02000427246094,1106600
2024-12-09,147.52999877929688,149.94000244140625,140.52000427246094,140.57000732421875,2119800
2024-12-10,148.52999877929688,151.75,147.5399932861328,148.35000610351562,1764300
2024-12-11,147.63999938964844,148.60000610351562,140.6699981689453,146.00999450683594,1863700
2024-12-12,146.42999267578125,148.4199981689453,144.9199981689453,145.64999389648438,1193000
2024-12-13,143.8699951171875,146.47000122070312,140.2899932861328,146.42999267578125,1808500
2024-12-16,144.39999389648438,148.50999450683594,142.9499969482422,144.5,1864300
2024-12-17,143.1199951171875,145.77999877929688,140.61000061035156,144.39999389648438,1775100
2024-12-18,134.02999877929688,143.4199981689453,133.1999969482422,143.17999267578125,2147100
2024-12-19,134.0,135.24000549316406,130.30999755859375,134.05999755859375,2027100
2024-12-20,136.02000427246094,137.69000244140625,133.0800018310547,133.4499969482422,14354000
2024-12-23,134.99000549316406,136.99000549316406,133.30999755859375,135.39999389648438,1530400
2024-12-24,135.2100067138672,136.10000610351562,134.4499969482422,134.89999389648438,528000
2024-12-26,134.9600067138672,135.69000244140625,133.5,133.99000549316406,695100
2024-12-27,135.27000427246094,136.1300048828125,133.7899932861328,134.36000061035156,1290600
2024-12-30,133.57000732421875,134.77000427246094,131.85000610351562,133.22999572753906,903000
2024-12-31,133.6300048828125,135.41000366210938,133.1300048828125,134.00999450683594,765500
2025-01-02,130.92999267578125,134.33999633789062,130.1999969482422,134.0,1363500
2025-01-03,136.00999450683594,137.2899932861328,130.8000030517578,131.69000244140625,1372700
2025-01-06,138.64999389648438,140.0,136.0800018310547,136.0800018310547,1611100
2025-01-07,139.0800018310547,142.5,138.11000061035156,139.82000732421875,1340000
2025-01-08,139.67999267578125,139.6999969482422,136.94000244140625,138.5399932861328,1342800
2025-01-10,136.69000244140625,137.17999267578125,133.97999572753906,136.1300048828125,1601300
2025-01-13,144.22000122070312,144.58999633789062,136.49000549316406,137.0,2777300
2025-01-14,136.47999572753906,153.05999755859375,136.19000244140625,145.25,2938700
2025-01-15,136.19000244140625,140.60000610351562,132.17999267578125,139.00999450683594,1676900
2025-01-16,137.3699951171875,138.0,131.75,135.80999755859375,1291800
2025-01-17,136.6699981689453,140.3300018310547,136.49000549316406,139.3800048828125,1247200
2025-01-21,141.30999755859375,141.86000061035156,137.60000610351562,137.9600067138672,1148100
2025-01-22,140.36000061035156,145.6699981689453,138.75999450683594,139.5,1916700
2025-01-23,134.75999450683594,139.35000610351562,131.3800048828125,139.0500030517578,2472500
2025-01-24,136.22000122070312,137.33999633789062,133.92999267578125,134.6999969482422,1363500
2025-01-27,138.0500030517578,138.2100067138672,134.83999633789062,135.52999877929688,1273000
2025-01-28,133.61000061035156,139.39999389648438,133.08999633789062,137.88999938964844,1688000
2025-01-29,131.72000122070312,133.1999969482422,129.39999389648438,133.0,2425000
2025-01-30,133.00999450683594,136.82000732421875,132.0,132.0,1352300
2025-01-31,132.74000549316406,135.67999267578125,131.8800048828125,132.94000244140625,1254500
2025-02-03,131.10000610351562,132.41000366210938,128.50999450683594,129.17999267578125,1530200
2025-02-04,124.19999694824219,129.24000549316406,122.22000122070312,125.16999816894531,4432100
2025-02-05,124.68000030517578,128.00999450683594,124.25,125.0,2464900
2025-02-06,122.80000305175781,126.38999938964844,121.63999938964844,125.48999786376953,2154900
2025-02-07,111.05999755859375,115.16000366210938,108.80999755859375,111.30000305175781,5434100
2025-02-10,104.98999786376953,106.0999984741211,101.91000366210938,105.69000244140625,8530000
2025-02-11,100.68000030517578,105.68000030517578,100.41999816894531,103.69999694824219,4267700
2025-02-12,103.56999969482422,103.80000305175781,99.3499984741211,99.61000061035156,3983700
2025-02-13,101.77999877929688,104.3499984741211,101.0999984741211,103.02999877929688,2763200
2025-02-14,100.23999786376953,103.69000244140625,99.95999908447266,102.16999816894531,3142100
2025-02-18,101.08999633789062,103.04000091552734,99.33000183105469,100.0,2919100
2025-02-19,103.0,103.12000274658203,99.94999694824219,100.19999694824219,2884200
2025-02-20,97.19999694824219,105.66999816894531,95.2300033569336,102.86000061035156,5945200
2025-02-21,94.19999694824219,98.69999694824219,93.5,97.91000366210938,4226500
2025-02-24,93.95999908447266,95.54000091552734,92.19999694824219,94.05000305175781,3254000
2025-02-25,95.76000213623047,95.93000030517578,91.91999816894531,93.4800033569336,3622600
2025-02-26,94.05000305175781,96.87999725341797,93.20999908447266,95.62000274658203,1841900
2025-02-27,88.97000122070312,93.66999816894531,88.75,93.4800033569336,2272100
2025-02-28,88.73999786376953,90.26000213623047,87.5,87.7699966430664,3068800
2025-03-03,84.19999694824219,88.81999969482422,83.79000091552734,88.69999694824219,2478800
2025-03-04,84.88999938964844,85.7699966430664,80.18000030517578,80.73999786376953,4209900
2025-03-05,85.69000244140625,86.81999969482422,84.08999633789062,85.0,2204900
2025-03-06,84.6500015258789,87.80000305175781,84.45999908447266,84.5199966430664,2319900
2025-03-07,86.62000274658203,87.62000274658203,83.38999938964844,84.61000061035156,3237600
2025-03-10,85.97000122070312,89.0,85.0,86.16999816894531,2989100
2025-03-11,84.5199966430664,92.9000015258789,83.08999633789062,88.5,3720800
2025-03-12,84.19999694824219,85.83000183105469,81.51000213623047,84.62999725341797,1805200
2025-03-13,84.05000305175781,84.80999755859375,82.73999786376953,83.5,1668000
2025-03-14,85.5999984741211,86.11000061035156,83.76000213623047,84.69999694824219,2079000
2025-03-17,85.68000030517578,86.68000030517578,84.5,85.9800033569336,1344200
2025-03-18,85.16000366210938,85.5999984741211,84.05000305175781,85.58000183105469,1453700
2025-03-19,84.95999908447266,86.05999755859375,83.52999877929688,85.0,2613500
2025-03-20,84.79000091552734,87.01000213623047,83.55000305175781,85.36000061035156,1612600
2025-03-21,87.66000366210938,87.86000061035156,83.5,83.73999786376953,3822400
2025-03-24,88.0199966430664,89.94999694824219,87.48999786376953,88.5199966430664,1757100
2025-03-25,87.52999877929688,89.77999877929688,87.01000213623047,89.2300033569336,2839600
2025-03-26,82.83000183105469,87.62000274658203,82.7699966430664,86.9800033569336,2081900
2025-03-27,82.27999877929688,83.08999633789062,81.58000183105469,82.5999984741211,1812800
2025-03-28,80.0,82.3499984741211,79.30000305175781,81.86000061035156,1526400
2025-03-31,79.33999633789062,79.94999694824219,77.54000091552734,79.41000366210938,1744100
2025-04-01,78.38999938964844,80.2699966430664,77.73999786376953,79.5,1870500
2025-04-02,81.87999725341797,82.76000213623047,77.98999786376953,78.2699966430664,1908300
2025-04-03,76.41999816894531,79.97000122070312,76.26000213623047,79.51000213623047,2117600
2025-04-04,74.16000366210938,75.43000030517578,70.63999938964844,75.4000015258789,3913400
2025-04-07,73.44999694824219,75.83000183105469,69.55000305175781,70.61000061035156,5170600
2025-04-08,70.30000305175781,75.76000213623047,69.37999725341797,75.76000213623047,3213400
2025-04-09,76.30000305175781,77.23999786376953,68.69999694824219,69.72000122070312,4431700
2025-04-10,71.26000213623047,75.05000305175781,69.29000091552734,74.5,2914500
2025-04-11,74.77999877929688,75.02999877929688,70.87000274658203,72.0999984741211,3040900
2025-04-14,75.05999755859375,76.16000366210938,74.13999938964844,76.0,2945300
2025-04-15,74.58999633789062,76.12000274658203,74.06999969482422,75.05999755859375,1089900
2025-04-16,73.52999877929688,75.66999816894531,72.41000366210938,74.5999984741211,1194100
2025-04-17,71.19999694824219,72.22000122070312,70.38999938964844,71.16999816894531,2639700
